Latitude,Longitude,City,State,Entity,Score,Title,URL,IA URL,Description,Picture  Pull the website in the window)?,Expertise,lat,long,Rank,
30.6954° N,88.0399° W,Mobile,AL,Law Enforcement ,1,Representative,secured,secured,"Law Enforcement contacts at town, city, state and federal levels in association with crypto forensic investigations.   ",,.,30.6954,-88.0399,11,"IF(ISNUMBER(SEARCH(""° W"", B64)), ""-"" & SUBSTITUTE(B64, ""° W"", """"), IF(ISNUMBER(SEARCH(""° E"", B64)), SUBSTITUTE(B64, ""° E"", """"), B64))"
37.8136° S,144.9631° E,Victoria,,,1,,,,,,,-37.8136,144.9631,16,"IF(ISNUMBER(SEARCH(""° S"", A64)), ""-"" & SUBSTITUTE(A64, ""° S"", """"), IF(ISNUMBER(SEARCH(""° N"", A64)), SUBSTITUTE(A64, ""° N"", """"), A64))"
37.1905° S,145.7088° E,Alexandra,,,1,,,,,,,-37.1905,145.7088,27,
33.7700° S,150.9072° E,Blacktown,,,1,,,,,,,-33.77,150.9072,15,
27.4698° S,153.0251° E,Brisbane,,,1,,,,,,,-27.4698,153.0251,10,
33.9029° S,151.2652° E,Sydney,,,1,,,,,,,-33.9029,151.2652,30,
33.8915° S,151.2767° E,Sydney,,,1,,,,,,,-33.8915,151.2767,16,
38.1469° S,145.1236° E,Frankston,,,1,,,,,,,-38.1469,145.1236,24,
34.9326° S,138.4988° E,Henley Beach,,,1,,,,,,,-34.9326,138.4988,27,
33.9630° S,151.1333° E,Kogarah,,,1,,,,,,,-33.963,151.1333,17,
33.7930° S,151.2871° E,Sydney,Sydney,,1,,,,,,,-33.793,151.2871,27,
33.7603° S, 150.9987° E,Liverpool,,,1,,,,,,,-33.7603,150.9987,17,
35.2809° S,149.1300° E,Canberra ,AUS,,1,,,,,,,-35.2809,149.13,17,
37.8136° S,144.9631° E,Victoria,,,1,,,,,,,-37.8136,144.9631,4,
37.8136° S,144.9631° E,Melbourne,Victoria,,1,,,,,,,-37.8136,144.9631,27,
33.8480° S,151.0671° E,Sydney,,,1,,,,,,,-33.848,151.0671,4,
22.1647,144.5845° E,Queensland,,,1,,,,,,,22.16,144.5845,13,
35.0631° S,138.8570° E,Mount Barker,,,1,,,,,,,-35.0631,138.857,16,
27.4698,153.0251° E,Brisbane,Queensland,,1,,,,,,,27.47,153.0251,27,
33.8150° S,151.0037° E,Sydney,,,1,,,,,,,-33.815,151.0037,14,
33.7967° S,151.1809° E,Stafford,Queensland,,1,,,,,,,-33.7967,151.1809,20,
33.8466° S,151.0710° E,Sydney,,,1,,,,,,,-33.8466,151.071,14,
33.8136° S,146.9211° E,,New South Wales,,1,,,,,,,-33.8136,146.9211,30,
31.8741° S,151.0982° E,Sydney ,,,1,,,,,,,-31.8741,151.0982,15,
33.8783° S,151.1868° E,Sydney ,,,1,,,,,,,-33.8783,151.1868,5,
31.8741° S,146.9211° E,Sydney ,,,1,,,,,,,-31.8741,146.9211,6,
20.9176° S,142.7028° E,Queensland,,,1,,,,,,,-20.9176,142.7028,3,
20.9176° S,142.7028° E,,Queensland,,1,,,,,,,-20.9176,142.7028,15,
20.9176° S,142.7028° E,Queensland,,,1,,,,,,,-20.9176,142.7028,23,
37.8136° S,144.9631° E,,Victoria,,1,,,,,,,-37.8136,144.9631,4,
25.0423° S,117.7932° E,,Western Australia,,1,,,,,,,-25.0423,117.7932,9,
34.9285° S,138.6007° E,South Australia,,,1,,,,,,,-34.9285,138.6007,10,
33.8688° S ,151.2093° E,Sydney,,,1,,,,,,,-33.8688,151.2093,27,
33.8688° S ,151.2093° E,Sydney,,,1,,,,,,,-33.8688,151.2093,4,
33.8688° S ,151.2093° E,Sydney,,,1,,,,,,,-33.8688,151.2093,12,
33.8688° S,151.2093° E,Sydney,,,1,,,,,,,-33.8688,151.2093,28,
33.8568° S,151.2153° E,Sydney,,,1,,,,,,,-33.8568,151.2153,30,
